query	seed_ortholog	evalue	score	eggNOG_OGs	tax_ceiling	farthest_donor_lineage	COG_category	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	annotation_confidence
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_7	1577687.GCA_001449115_00456	1.03e-120	364.0	TPR_8@131567|Apo-19	Prokaryota	1;131567;2;3379134;1224;1236;1706369;1706371;10;2624793;1945512	COG3063	cya	-	ec:2.7.11.1,ec:4.6.1.1	K01768,K03556,K12132,K12512,K23424	00230,01100	-	-	-	00001,01000,01001,01003,02044,03000	-	-	-	TPR_8_220_246	l-lll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1989745_3	1577687.GCA_001449115_00461	0.0	1221.0	ACT_4@131567|Bg-11,TGS@2|QQ-15,TGS@131567|a-6,HD_4@131567|PO-17,RelA_AH_RIS@131567|C-2,RelA_SpoT@131567|BNk-24	Prokaryota	1;131567;2;3379134;200930;68337;191393;2945022;2351;2352;717231	COG0317	ppGpp	GO:0005515,GO:0008728,GO:0008893,GO:0009274,GO:0015949,GO:0015968,GO:0015969,GO:0030145,GO:0051302	ec:2.7.6.5,ec:3.1.7.2	K01139	00230,01100	-	-	-	00001,01000,03009	-	-	-	ACT_4_696_772,HD_4_71_220,RelA_AH_RIS_508_664,RelA_SpoT_281_389,TGS_433_492	lllll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_380439_1	1577687.GCA_001449115_00471	7.27e-160	468.0	GAF@131567|sh-21,EAL@131567|CCR-28	Prokaryota	1;131567;2;3379134;1224;28216;80840;80864;12916;2684926;512030	COG5001	dosP	GO:0000287,GO:0005515,GO:0019826,GO:0020037,GO:0042803,GO:0070482,GO:0071111	ec:3.1.4.52	K13243,K21024	-	-	-	-	00001,01000	-	-	-	EAL_204_441,GAF_42_166	llll----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_380439_5	1577687.GCA_001449115_00484	4.04e-37	129.0	DUF4870@131567|A-1	Prokaryota	1;131567;2;3379134;1224;28216;33809;1797490	COG3296	-	-	-	-	-	-	-	-	-	-	-	-	DUF4870_26_108	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_380439_7	1577687.GCA_001449115_00485	7.18e-25	99.4	-	Prokaryota	1;131567;2;3379134;57723;204432;332160;332161;332162;332163;234267	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_380439_8	1577687.GCA_001449115_00486	3.4e-55	173.0	Iron_traffic@131567|A-1	Prokaryota	1;131567;2;1783272;200795;388447;768667;768668;768669;1382306	COG2924	fieF	-	-	-	-	-	-	-	-	-	-	-	Iron_traffic_1_88	l-----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_5464_9	1577687.GCA_001449115_00605	2.68e-40	147.0	GATase_6@131567|Ac-8,SIS@131567|Ey-11	Prokaryota	1;131567;2;3379134;1783270;68336;976;117743;200644;49546;61432;531844	COG0449	glmS	-	ec:2.6.1.16	K00820	00250,00520,01100,01250	M00892,M00909	-	-	00001,01000,01002	-	-	-	GATase_6_66_184,SIS_300_427,SIS_473_608	l-llll--l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1499277_1	1577687.GCA_001449115_00647	2.77e-51	164.0	Bac_DNA_binding@131567|Dx-12	Prokaryota	1;131567;2;3379134;1224;28216;80840;119060;1827195;196367	COG0776	hupB	-	-	K03530	-	-	-	-	00001,03032,03036,03400	-	-	-	Bac_DNA_binding_5_93	l--m----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2131106_4	1577687.GCA_001449115_00654	1.83e-236	662.0	MnmE_helical@131567|A-1,TrmE_N@131567|A-1,MMR_HSR1@131567|Gs-11	Prokaryota	1;131567;2;3379134;40117;203693;189778;189779;1234;1742972	COG0486	mnmE	-	-	K03650	-	-	-	-	00001,03016	-	-	-	MMR_HSR1_230_342,MnmE_helical_134_458,TrmE_N_13_131	m--m----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1943638_4	1577687.GCA_001449115_00664	3.03e-201	572.0	Glyco_hydro_18@2|Afc-20,Glyco_hydro_18@131567|Xw-15	Prokaryota	1;131567;2;3379134;200940;3031449;213115;194924;2794998;340956;1121447	COG3325	chiA	-	ec:3.2.1.14	K01183	00520,01100	-	-	-	00001,01000	-	-	-	Glyco_hydro_18_35_425	h-hhh---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_906376_3	1577687.GCA_001449115_00665	3.97e-296	824.0	Peptidase_S15@131567|IM-13,PepX_C@131567|BY-8	Prokaryota	1;131567;2;1783272;1798711;1117;3028117;1161;2661849;1186;2619626;32057	COG2936	cocE	-	-	K06889,K06978	-	-	-	-	00001	-	-	-	PepX_C_345_585,Peptidase_S15_41_308	l--l----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_64713_2	1577687.GCA_001449115_00690	6.81e-192	538.0	PALP@131567|Eva-30	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;1768185;1577687	COG0031	-	-	-	-	-	-	-	-	-	-	-	-	PALP_9_296	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_64713_4	1577687.GCA_001449115_00692	0.0	1007.0	PKD_4@131567|Ap-8,PA14@131567|Cm-9	Prokaryota	1;131567;2;3379134;1783270;68336;976;768503;768507;2896860;120831;492736;1121481	COG1501	yliI_1	-	ec:3.2.1.45,ec:3.2.1.78	K01218,K08738,K17108,K20276	00051,00190,00511,00600,01100,02020,02024	-	-	-	00001,01000	-	-	-	PA14_599_698,PKD_4_465_544	l-lll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_641979_27	1577687.GCA_001449115_00707	9.4e-151	431.0	Aldo_ket_red@131567|au-14	Prokaryota	1;131567;2;3379134;1224;28211;204455;2854170;188905;2645469;290400	COG0667	ydbC	-	ec:1.1.1.65	K05275	00750,01100,01120	-	-	-	00001,01000	-	-	-	Aldo_ket_red_22_289	l-mmm---m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1989745_9	1577687.GCA_001449115_00708	9.45e-53	172.0	TM2@131567|SH-21	Prokaryota	1;131567;2;3379134;1224;28211;204441;597359;454159;1938558	COG2314	-	-	-	-	-	-	-	-	-	-	-	-	TM2_28_73	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1499277_3	1577687.GCA_001449115_00714	1.16e-108	317.0	RuvA_N@131567|A-1,RuvA_C@131567|A-1,HHH_5@131567|Bu-8	Prokaryota	1;131567;2;1783272;1798711;1703751;1802582	COG0632	ruvA	GO:0000400,GO:0000724,GO:0000725,GO:0005515,GO:0005886,GO:0006974,GO:0009314,GO:0009378,GO:0009379,GO:0009432,GO:0042802,GO:0048476	-	K03550	03440	-	-	-	00001,03400	-	-	-	HHH_5_72_130,RuvA_C_148_192,RuvA_N_1_62	ml-mm---m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1462304_6	1577687.GCA_001449115_00731	1.67e-103	310.0	Sigma70_r2@131567|No-12,Sigma70_r4_2@131567|Giq-36	Prokaryota	1;131567;2;1783272;1239;186801;186802;216572;459786;2629304;1235797	COG1595	sigW_8	GO:0001666,GO:0006355,GO:0009408,GO:0009410,GO:0009415,GO:0045893	-	K03088	-	-	-	-	00001,03021	-	-	-	Sigma70_r2_110_177,Sigma70_r4_2_223_274	ll-l----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1991547_4	1577687.GCA_001449115_00738	3.21e-75	235.0	-	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;940557;940614;682795	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1991547_3	1577687.GCA_001449115_00739	5.56e-81	250.0	DUF218@131567|h-6	Prokaryota	1;131567;2;1783272;201174;1760;85007;1762;1763;2642494;1834109	COG2949	-	-	-	-	-	-	-	-	-	-	-	-	DUF218_67_184	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_571720_6	1577687.GCA_001449115_00748	1.98e-46	159.0	DUF4440@131567|d-5	Prokaryota	1;131567;2;3379134;1224;1236;135614;32033;68;2635362;1736568	COG4319	-	-	ec:3.5.99.10	K09022	-	-	-	-	00001,01000	-	-	-	DUF4440_49_156	--ll----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_64713_10	1577687.GCA_001449115_00760	1.39e-162	471.0	HlyD_D23@57723|Won-44,HlyD_D23@131567|ATh-23	Prokaryota	1;131567;2;3379134;57723;305072;1803443	COG0845	bepF_1	-	-	K03585	01501,01503	M00718	-	-	00001,01504,02000,03036	-	-	-	HlyD_D23_112_325	l--lll--l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2041958_3	1577687.GCA_001449115_00763	2.62e-198	559.0	GHMP_kinases_N@131567|X-5,GHMP_kinases_C@131567|w-7,GalKase_gal_bdg@131567|A-1	Prokaryota	1;131567;2;3379134;1224;1236;91347;543;447792;1485952;1095768	COG0153	galK	GO:0000287,GO:0004335,GO:0005737,GO:0005829,GO:0033499	ec:2.7.1.6	K00849	00052,00520,01100,01250	M00554,M00632	-	-	00001,01000,04147	-	-	-	GHMP_kinases_C_281_358,GHMP_kinases_N_112_178,GalKase_gal_bdg_11_57	mlmmmm--m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1728423_10	1577687.GCA_001449115_00779	7.91e-201	563.0	AIRS_C@131567|AI-7,AIRS@131567|k-6	Prokaryota	1;131567;2;1783272;200795;32061;32064;1508594;104174;104175;104176;765420	COG0150	purM	-	ec:6.3.3.1	K01933	00230,01100,01110	M00048	-	-	00001,01000	-	-	-	AIRS_64_167,AIRS_C_179_343	m-mmmm--m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_76459_7	1577687.GCA_001449115_00801	1.75e-63	202.0	CoaE@131567|A-1	Prokaryota	1;131567;2;3379134;74152;1797919;1797971	COG0237	coaE	-	ec:2.7.1.24	K00859	00770,01100,01240	M00120	-	-	00001,01000	-	-	-	CoaE_4_123	m-mmmm--m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_324538_8	1577687.GCA_001449115_00831	9.83e-39	137.0	HTH_DeoR@131567|ZF-22,HTH_DeoR@204434|CWX-33,DeoRC@131567|Eh-9,DeoRC@204434|AZt-17	Prokaryota	1;131567;2;1783272;201174;1760;85006;85023;110932;2663824;1736525	COG1349	glpR	-	-	K02081	-	-	-	-	00001,03000	-	-	-	DeoRC_83_241,HTH_DeoR_8_62	l--m----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_598173_4	1577687.GCA_001449115_00848	7.79e-258	725.0	A_deaminase@131567|C-2!	Prokaryota	1;131567;2;3379134;1224;1236;118969;444;445;455	COG1816	add_1	-	ec:3.5.4.4	K01488	00230,01100,01232	M00958	-	-	00001,01000	-	-	-	A_deaminase_247_464	l-llll--l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_324538_6	1577687.GCA_001449115_00849	1.44e-228	647.0	-	Prokaryota	1;131567;2;3379134;1783270;68336;976;117747;200666;84566;84567;2628915;1761882	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1149798_8	1577687.GCA_001449115_00861	1.97e-213	598.0	GCV_T@131567|ES-11,GCV_T_C@131567|Ae-8	Prokaryota	1;131567;2;3379134;1783270;68336;976;117747;200666;84566;423349;1302689	COG0404	gcvT	-	ec:2.1.2.10	K00605	00260,00630,00670,00785,01100,01110,01200	M00532,M00621	-	-	00001,01000	-	-	-	GCV_T_17_274,GCV_T_C_301_380	l-llll--l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1517020_3	1577687.GCA_001449115_00867	5.41e-191	538.0	PCRF@131567|W-6,RF-1@131567|IM-15	Prokaryota	1;131567;2;3379134;67818;3240457;3240458;3240459;3378346;1797291	COG0216	prfA	-	-	K02835	-	-	-	-	00001,03012	-	-	-	PCRF_8_201,RF-1_209_318	m--h----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1517020_4	1577687.GCA_001449115_00868	3.12e-47	159.0	PIN@131567|SH-13	Prokaryota	1;131567;2;3379134;1224;28211;356;119045;407;2615210;1730094	COG5573	pilT	-	-	-	-	-	-	-	-	-	-	-	PIN_13_130	m-----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1517020_5	1577687.GCA_001449115_00869	2.67e-21	87.0	-	Prokaryota	1;131567;2;1783272;201174;1760;85009;85015;1839;2615069;1283287	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_280630_15	1577687.GCA_001449115_00869	3.04e-09	54.7	-	Prokaryota	1;131567;2;1783272;201174;1760;85009;85015;1839;2615069;1283287	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_82256_12	1577687.GCA_001449115_00877	1.26e-142	415.0	IPPT@131567|A-1	Prokaryota	1;131567;2;3379134;1224;28211;2800060;69657;1123044;1123045;551789	COG0324	miaA	-	ec:2.5.1.75	K00791	01100,01110	-	-	-	00001,01000,01006,03016	-	-	-	IPPT_45_282	m-mmm---m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1401714_6	1577687.GCA_001449115_00936	3.64e-261	742.0	Transglut_core@131567|MT-15,DUF3857@131567|A-1,DUF3857@2|Bn-8	Prokaryota	1;131567;2;3379134;2818505;32015;29;80811;39;47;48	COG1305	-	-	-	-	-	-	-	-	-	-	-	-	DUF3857_64_177,Transglut_core_287_364	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1401714_7	1577687.GCA_001449115_00936	8.34e-265	753.0	Transglut_core@131567|MT-15,DUF3857@131567|A-1,DUF3857@2|Bn-8	Prokaryota	1;131567;2;3379134;2818505;32015;29;80811;39;47;48	COG1305	-	-	-	-	-	-	-	-	-	-	-	-	DUF3857_64_177,Transglut_core_287_364	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1698565_11	1577687.GCA_001449115_00948	3.11e-258	721.0	-	Prokaryota	1;131567;2;3379134;1224;1236;72274;135621;286;915471	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1698565_10	1577687.GCA_001449115_00949	1.26e-159	454.0	HipA_2@131567|A-1	Prokaryota	1;131567;2;3379134;1224;28211;204457;41297;165695;2611147;1843368	S	-	-	-	-	-	-	-	-	-	-	-	-	HipA_2_9_141	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1698565_9	1577687.GCA_001449115_00950	2.19e-156	444.0	DUF3037@131567|A-1	Prokaryota	1;131567;2;3379134;57723;305072;1797186	S	-	-	-	-	-	-	-	-	-	-	-	-	DUF3037_13_121	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1698565_8	1577687.GCA_001449115_00951	3.17e-238	664.0	Phage_portal@131567|r-7	Prokaryota	1;131567;2;1783272;1239;91061;1385;186823;29330;392016;1120971	COG4695	-	-	-	-	-	-	-	-	-	-	-	-	Phage_portal_75_411	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1698565_7	1577687.GCA_001449115_00952	1.05e-94	280.0	-	Prokaryota	1;131567;2;1783272;1239;91061;1385;186822;44249;189425	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1698565_6	1577687.GCA_001449115_00953	6.67e-53	171.0	-	Prokaryota	1;131567;2;3379134;57723;204432;204433;3121618;658061;658062;204669	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1594309_9	1577687.GCA_001449115_00955	5.42e-43	146.0	-	Prokaryota	1;131567;2;1783272;1239;91061;1385;186822;44249;1324314	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1698565_4	1577687.GCA_001449115_00955	5.99e-121	349.0	-	Prokaryota	1;131567;2;1783272;1239;91061;1385;186822;44249;1324314	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1594309_7	1577687.GCA_001449115_00957	1.24e-86	258.0	-	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;392733;2628988;278961	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1698565_2	1577687.GCA_001449115_00957	1.45e-85	256.0	-	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;392733;2628988;278961	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1594309_6	1577687.GCA_001449115_00958	5.01e-142	412.0	-	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;112074;1267533	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1698565_1	1577687.GCA_001449115_00958	5.58e-36	131.0	-	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;112074;1267533	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1594309_5	1577687.GCA_001449115_00959	0.0	984.0	-	Prokaryota	1;131567;2;3379134;57723;204432;204433;3121618;658061;658062;204669	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1594309_4	1577687.GCA_001449115_00960	3.07e-37	127.0	-	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;940557;474950	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_281591_11	1577687.GCA_001449115_01045	3.08e-151	430.0	His_biosynth@131567|M-4	Prokaryota	1;131567;2;1783272;201174;1760;85010;2070;2071;103731;1179773	COG0107	hisF	-	ec:4.3.2.10	K02500	00340,01100,01110,01230	M00026	-	-	00001,01000	-	-	-	His_biosynth_5_237	m-mmmm--m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_281591_10	1577687.GCA_001449115_01046	8.36e-109	318.0	GATase@131567|AA-6	Prokaryota	1;131567;2;1783272;201174;908620;596497;596498;596499;427918;1069448	COG0118	hisH	-	ec:4.3.2.10	K02501	00340,01100,01110,01230	M00026	-	-	00001,01000	-	-	-	GATase_5_197	m-mmmm--m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_281591_9	1577687.GCA_001449115_01047	4.7e-124	356.0	IGPD@131567|A-1	Prokaryota	1;131567;2;68525;28221;122706;1797887	COG0131	hisB	-	ec:4.2.1.19	K01693	00340,01100,01110,01230	M00026	-	-	00001,01000	-	-	-	IGPD_35_178	l-llll--l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_281591_5	1577687.GCA_001449115_01051	5.12e-63	195.0	PRA-CH@131567|A-1	Prokaryota	1;131567;2;3379134;1224;28211;204457;335929;2800681;874156	COG0139	hisI	-	ec:3.5.4.19	K01496	00340,01100,01110,01230	M00026	-	-	00001,01000	-	-	-	PRA-CH_25_100	l-mmmm--m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_902797_2	1577687.GCA_001449115_01052	1.15e-73	233.0	DUF5666@131567|A-1	Prokaryota	1;131567;2;2323;1783234;1783273;1794810;1752720;1805209	COG6083	-	-	-	-	-	-	-	-	-	-	-	-	DUF5666_188_253	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_888288_7	1577687.GCA_001449115_01061	1.81e-242	674.0	ABHD18@131567|A-1	Prokaryota	1;131567;2;3379134;1783270;68336;976;1853228;1853229;563835;1649476;1465490	COG1506	ydjC	-	-	-	-	-	-	-	-	-	-	-	ABHD18_182_264	l-----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_576302_16	1577687.GCA_001449115_01073	3.49e-245	680.0	PALP@131567|BT-9	Prokaryota	1;131567;2;1783272;1239;3086086;3086087;3086088;427925;427926;555088	COG0133	trpB	GO:0000162,GO:0004834	ec:4.2.1.20	K01696	00260,00400,01100,01110,01230	M00023	-	-	00001,01000	-	-	-	PALP_62_387	mlmmmm--m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_576302_13	1577687.GCA_001449115_01076	5.71e-184	519.0	DAHP_synth_1@131567|R-5,DAHP_snth_FXD@131567|A-1	Prokaryota	1;131567;2;1783272;1239;909932;909929;1843491;55506;55507;1123243	COG2876	aroF1	-	ec:2.5.1.54	K03856	00400,01100,01110,01230	M00022	-	-	00001,01000	-	-	-	DAHP_snth_FXD_1_66,DAHP_synth_1_88_326	l-llll--l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1181446_5	1577687.GCA_001449115_01080	2.29e-126	369.0	-	Prokaryota	1;131567;2;3379134;1224;28211;356;119042;212791;225324	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_73231_11	1577687.GCA_001449115_01105	1.1e-82	247.0	NifU_N@131567|A-1	Prokaryota	1;131567;2;3379134;1224;1236;91347;1903411;629;631	COG0822	iscU	GO:0005507,GO:0005515,GO:0005829,GO:0008270,GO:0016226,GO:0019448,GO:0042802,GO:0051537,GO:0051539,GO:1990330	-	K04488	-	-	-	-	00001	-	-	-	NifU_N_2_127	ll-m----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_73231_10	1577687.GCA_001449115_01106	3.9e-71	217.0	Fe-S_biosyn@131567|mR-20	Prokaryota	1;131567;2;3379134;2818505;32015;29;80811;39;42;83449	COG0316	erpA	-	-	K13628	-	-	-	-	00001,03016	-	-	-	Fe-S_biosyn_32_134	l--m----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1409929_3	1577687.GCA_001449115_01133	2.42e-149	431.0	AAA_31@131567|BTP-23	Prokaryota	1;131567;2;3379134;1802340;1293497;1293498;1293499;407032;2814657;913337	COG1192	parA	GO:0005737	-	K03496	-	-	-	-	00001,03036,04812	-	-	-	AAA_31_3_177	ll-m----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_623292_2	1577687.GCA_001449115_01133	6.64e-149	426.0	AAA_31@131567|BTP-23	Prokaryota	1;131567;2;3379134;1802340;1293497;1293498;1293499;407032;2814657;913337	COG1192	parA	GO:0005737	-	K03496	-	-	-	-	00001,03036,04812	-	-	-	AAA_31_3_177	ll-m----m---h
